Rank,Mark,Competitor,Date_of_Birth,Nationality,Venue,Date,Results_Score,Year
1,209.063,Jakob INGEBRIGTSEN,2000-09-19,NOR,"Arena Stade Couvert, Liévin (FRA) (i)",13 FEB 2025,1306,2025
2,211.074,Yared NUGUSE,1999-06-01,USA,"Armory Track&Field Center, New York, NY (USA) (i)",08 FEB 2025,1275,2025
3,211.089,Hobbs KESSLER,2003-03-15,USA,"Armory Track&Field Center, New York, NY (USA) (i)",08 FEB 2025,1273,2025
4,212.024,Azeddine HABZ,1993-07-19,FRA,"Armory Track&Field Center, New York, NY (USA) (i)",08 FEB 2025,1268,2025
5,212.059,Isaac NADER,1999-08-17,POR,"Arena Stade Couvert, Liévin (FRA) (i)",13 FEB 2025,1262,2025
6,212.067,Cameron MYERS,2006-06-09,AUS,"Armory Track&Field Center, New York, NY (USA) (i)",08 FEB 2025,1261,2025
7,213.002,Liam MURPHY,2002-02-04,USA,"Paul Derr TF Facility, Raleigh, NC (USA)",27 MAR 2025,1202,2025
8,213.014,Robert FARKEN,1997-09-20,GER,"Armory Track&Field Center, New York, NY (USA) (i)",08 FEB 2025,1254,2025
9,213.018,Neil GOURLEY,1995-02-07,GBR,"Armory Track&Field Center, New York, NY (USA) (i)",08 FEB 2025,1254,2025
10,213.038,Marco LANGON,2004-08-31,USA,"Paul Derr TF Facility, Raleigh, NC (USA)",27 MAR 2025,1197,2025
11,213.04,Andrew COSCORAN,1996-06-18,IRL,"Armory Track&Field Center, New York, NY (USA) (i)",08 FEB 2025,1251,2025
12,213.041,Ethan STRAND,2002-10-20,USA,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",01 FEB 2025,1251,2025
12,213.041,Gary MARTIN,2003-12-23,USA,"Armory Track&Field Center, New York, NY (USA) (i)",08 FEB 2025,1251,2025
14,213.055,Anass ESSAYI,2001-05-18,MAR,"L'Anneau-Halle d'athlétisme de Metz, Metz (FRA) (i)",08 FEB 2025,1249,2025
15,213.066,Josh HOEY,1999-11-01,USA,"The Track at New Balance, Boston, MA (USA) (i)",02 FEB 2025,1247,2025
16,213.099,Grant FISHER,1997-04-22,USA,"The Track at New Balance, Boston, MA (USA) (i)",02 FEB 2025,1242,2025
17,214.0,Adam FOGG,1999-01-27,GBR,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",01 FEB 2025,1242,2025
18,214.049,Ruben VERHEYDEN,2000-12-22,BEL,"L'Anneau-Halle d'athlétisme de Metz, Metz (FRA) (i)",08 FEB 2025,1235,2025
19,214.052,Oliver HOARE,1997-01-29,AUS,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 MAR 2025,1235,2025
20,215.012,Thomas KEEN,2001-06-16,GBR,"The Track at New Balance, Boston, MA (USA) (i)",02 FEB 2025,1226,2025
21,215.026,Tshepiso MASALELA,1999-05-25,BOT,"UJ Stadium, Johannesburg (RSA)",19 MAR 2025,1171,2025
